timestamp_ms,frame,left_ear,left_ear_smooth,left_state,right_ear,right_ear_smooth,right_state,avg_ear,avg_ear_smooth,blink_count,left_winks,right_winks,threshold
335691617,1,0.303,0.303,OPEN,0.318,0.318,OPEN,0.31,0.31,0,0,0,0.21
335691792,2,0.281,0.292,OPEN,0.288,0.303,OPEN,0.284,0.297,0,0,0,0.21
335691834,3,0.29,0.291,OPEN,0.288,0.298,OPEN,0.289,0.294,0,0,0,0.21
335691878,4,0.291,0.291,OPEN,0.289,0.296,OPEN,0.29,0.293,0,0,0,0.21
335691921,5,0.281,0.289,OPEN,0.282,0.293,OPEN,0.281,0.291,0,0,0,0.21
335691965,6,0.29,0.287,OPEN,0.281,0.286,OPEN,0.285,0.286,0,0,0,0.21
335692008,7,0.291,0.289,OPEN,0.281,0.284,OPEN,0.286,0.286,0,0,0,0.21
335692051,8,0.29,0.289,OPEN,0.307,0.288,OPEN,0.298,0.288,0,0,0,0.21
335692094,9,0.307,0.292,OPEN,0.296,0.289,OPEN,0.301,0.29,0,0,0,0.21
335692138,10,0.307,0.297,OPEN,0.281,0.289,OPEN,0.294,0.293,0,0,0,0.21
335692181,11,0.274,0.294,OPEN,0.297,0.292,OPEN,0.285,0.293,0,0,0,0.21
335692226,12,0.291,0.294,OPEN,0.287,0.294,OPEN,0.289,0.294,0,0,0,0.21
335692267,13,0.307,0.297,OPEN,0.287,0.29,OPEN,0.297,0.293,0,0,0,0.21
335692310,14,0.29,0.294,OPEN,0.279,0.286,OPEN,0.284,0.29,0,0,0,0.21
335692354,15,0.294,0.291,OPEN,0.279,0.286,OPEN,0.286,0.288,0,0,0,0.21
335692397,16,0.328,0.302,OPEN,0.264,0.279,OPEN,0.296,0.29,0,0,0,0.21
335692440,17,0.328,0.309,OPEN,0.273,0.276,OPEN,0.3,0.292,0,0,0,0.21
335692484,18,0.294,0.307,OPEN,0.298,0.279,OPEN,0.296,0.293,0,0,0,0.21
335692527,19,0.034,0.256,OPEN,0.03,0.229,OPEN,0.032,0.242,0,0,0,0.21
335692570,20,0.033,0.203,CLOSED,0.021,0.177,CLOSED,0.027,0.19,0,0,0,0.21
335692613,21,0.05,0.148,CLOSED,0.052,0.135,CLOSED,0.051,0.142,0,0,0,0.21
335692657,22,0.137,0.11,CLOSED,0.143,0.109,CLOSED,0.14,0.11,0,0,0,0.21
335692700,23,0.224,0.096,CLOSED,0.22,0.093,CLOSED,0.222,0.095,0,0,0,0.21
335692743,24,0.242,0.137,CLOSED,0.236,0.134,CLOSED,0.239,0.136,0,0,0,0.21
335692787,25,0.103,0.151,CLOSED,0.112,0.153,CLOSED,0.107,0.152,0,0,0,0.21
335692830,26,0.023,0.146,CLOSED,0.015,0.145,CLOSED,0.019,0.145,0,0,0,0.21
335692873,27,0.041,0.127,CLOSED,0.053,0.127,CLOSED,0.047,0.127,0,0,0,0.21
335692917,28,0.189,0.12,CLOSED,0.153,0.114,CLOSED,0.171,0.117,0,0,0,0.21
335692961,29,0.258,0.123,CLOSED,0.228,0.112,CLOSED,0.243,0.117,0,0,0,0.21
335693004,30,0.267,0.156,CLOSED,0.234,0.137,CLOSED,0.251,0.147,0,0,0,0.21
335693046,31,0.017,0.154,CLOSED,0.05,0.144,CLOSED,0.034,0.149,0,0,0,0.21
335693090,32,0.04,0.154,CLOSED,0.062,0.145,CLOSED,0.051,0.149,0,0,0,0.21
335693133,33,0.137,0.144,CLOSED,0.153,0.145,CLOSED,0.145,0.144,0,0,0,0.21
335693176,34,0.258,0.144,CLOSED,0.228,0.145,CLOSED,0.243,0.144,0,0,0,0.21
335693220,35,0.293,0.149,CLOSED,0.258,0.15,CLOSED,0.275,0.149,0,0,0,0.21
335693262,36,0.208,0.187,CLOSED,0.242,0.189,CLOSED,0.225,0.188,0,0,0,0.21
335693306,37,0.05,0.189,CLOSED,0.052,0.187,CLOSED,0.051,0.188,0,0,0,0.21
335693349,38,0.05,0.172,CLOSED,0.045,0.165,CLOSED,0.048,0.168,0,0,0,0.21
335693392,39,0.189,0.158,CLOSED,0.182,0.156,CLOSED,0.185,0.157,0,0,0,0.21
335693437,40,0.276,0.155,CLOSED,0.258,0.156,CLOSED,0.267,0.155,0,0,0,0.21
335693479,41,0.31,0.175,CLOSED,0.273,0.162,CLOSED,0.291,0.168,0,0,0,0.21
335693522,42,0.133,0.192,CLOSED,0.138,0.179,CLOSED,0.136,0.185,0,0,0,0.21
335693565,43,0.033,0.188,CLOSED,0.054,0.181,CLOSED,0.043,0.184,0,0,0,0.21
335693609,44,0.05,0.16,CLOSED,0.052,0.155,CLOSED,0.051,0.158,0,0,0,0.21
335693651,45,0.183,0.142,CLOSED,0.183,0.14,CLOSED,0.183,0.141,0,0,0,0.21
335693695,46,0.267,0.133,CLOSED,0.274,0.14,CLOSED,0.271,0.137,0,0,0,0.21
335693738,47,0.301,0.167,CLOSED,0.303,0.173,CLOSED,0.302,0.17,0,0,0,0.21
335693782,48,0.301,0.22,OPEN,0.303,0.223,OPEN,0.302,0.222,1,0,0,0.21
335693825,49,0.086,0.228,OPEN,0.079,0.228,OPEN,0.082,0.228,1,0,0,0.21
335693869,50,0.086,0.208,CLOSED,0.076,0.207,CLOSED,0.081,0.207,1,0,0,0.21
335693911,51,0.12,0.179,CLOSED,0.142,0.181,CLOSED,0.131,0.18,1,0,0,0.21
335693955,52,0.206,0.16,CLOSED,0.213,0.163,CLOSED,0.209,0.162,1,0,0,0.21
335693998,53,0.276,0.155,CLOSED,0.272,0.156,CLOSED,0.274,0.155,1,0,0,0.21
335694041,54,0.31,0.2,CLOSED,0.272,0.195,CLOSED,0.291,0.198,1,0,0,0.21
335694085,55,0.138,0.21,OPEN,0.138,0.207,CLOSED,0.138,0.208,1,0,0,0.21
335694128,56,0.017,0.189,CLOSED,0.035,0.186,CLOSED,0.026,0.188,1,0,0,0.21
335694171,57,0.066,0.161,CLOSED,0.061,0.156,CLOSED,0.064,0.159,1,0,0,0.21
335694214,58,0.167,0.14,CLOSED,0.156,0.132,CLOSED,0.162,0.136,1,0,0,0.21
335694257,59,0.275,0.133,CLOSED,0.25,0.128,CLOSED,0.263,0.131,1,0,0,0.21
335694301,60,0.294,0.164,CLOSED,0.281,0.157,CLOSED,0.287,0.161,1,0,0,0.21
335694343,61,0.294,0.219,OPEN,0.243,0.198,CLOSED,0.268,0.209,1,0,0,0.21
335694387,62,0.083,0.223,OPEN,0.064,0.199,CLOSED,0.074,0.211,1,0,0,0.21
335694430,63,0.099,0.209,CLOSED,0.082,0.184,CLOSED,0.09,0.197,1,0,0,0.21
335694474,64,0.166,0.187,CLOSED,0.154,0.165,CLOSED,0.16,0.176,1,0,0,0.21
335694517,65,0.241,0.177,CLOSED,0.214,0.151,CLOSED,0.227,0.164,1,0,0,0.21
335694560,66,0.3,0.178,CLOSED,0.274,0.158,CLOSED,0.287,0.168,1,0,0,0.21
335694604,67,0.302,0.222,OPEN,0.273,0.199,CLOSED,0.287,0.211,1,0,0,0.21
335694647,68,0.318,0.265,OPEN,0.273,0.238,OPEN,0.295,0.252,2,0,0,0.21
335694690,69,0.318,0.296,OPEN,0.303,0.267,OPEN,0.31,0.281,2,0,0,0.21
335694734,70,0.318,0.311,OPEN,0.303,0.285,OPEN,0.31,0.298,2,0,0,0.21
335694776,71,0.328,0.317,OPEN,0.288,0.288,OPEN,0.308,0.302,2,0,0,0.21
335694820,72,0.327,0.322,OPEN,0.287,0.291,OPEN,0.307,0.306,2,0,0,0.21
335694862,73,0.327,0.324,OPEN,0.287,0.294,OPEN,0.307,0.309,2,0,0,0.21
335694906,74,0.327,0.325,OPEN,0.287,0.29,OPEN,0.307,0.307,2,0,0,0.21
335694949,75,0.327,0.327,OPEN,0.287,0.287,OPEN,0.307,0.307,2,0,0,0.21
335694993,76,0.327,0.327,OPEN,0.287,0.287,OPEN,0.307,0.307,2,0,0,0.21
335695036,77,0.318,0.325,OPEN,0.279,0.285,OPEN,0.298,0.305,2,0,0,0.21
335695079,78,0.345,0.329,OPEN,0.287,0.285,OPEN,0.316,0.307,2,0,0,0.21
335695123,79,0.335,0.33,OPEN,0.279,0.284,OPEN,0.307,0.307,2,0,0,0.21
335695166,80,0.346,0.334,OPEN,0.278,0.282,OPEN,0.312,0.308,2,0,0,0.21
335695209,81,0.327,0.334,OPEN,0.287,0.282,OPEN,0.307,0.308,2,0,0,0.21
